"","a1","a2","a3","d1","d2","d3","d4","d5","d6","d7","d8"
"gq6_1",-2.50735386102215,0.259994273943877,-0.614669655006602,8.30066239558454,7.44588862044027,6.44157598371423,4.30897731931332,2.81128200736463,-0.379149121443207,NA,NA
"gq6_2",-2.21309977702435,0.0780886593542982,-0.480165297720343,7.71665192972028,5.8686154564758,4.77291296488011,3.08473645060911,1.65894188439539,-0.782378316994005,NA,NA
"gq6_3",-1.383115128897,0.143774037574092,-0.274668815067967,4.78664439830618,3.90087193714649,3.01360069295336,2.0573382051471,1.36712574873893,-0.552971893210097,NA,NA
"gq6_4",-1.74789074992944,-0.123662218252725,-0.156504474603252,6.46411990853516,4.89759619627831,3.86260987185521,2.18353630078421,0.82151069483101,-1.56774424860856,NA,NA
"gq6_5",-1.70695212816892,0.114811678591913,-0.0796353120314748,6.30172638589799,5.45469194845944,4.68328697223257,2.95977748046399,1.58704561553343,-0.711375711961973,NA,NA
"gq6_6",-0.493107135214005,0.018514347881116,-0.134617016632325,3.36348704284794,1.8404719779457,0.898479160079061,-0.0220118073279177,-0.58372409309298,-1.92146119927415,NA,NA
"gac_1",-2.00457377482805,-0.611102616374456,-1.83284871323216,6.5034840777118,3.93182707246344,1.37215430815286,-1.42214823171516,NA,NA,NA,NA
"gac_2",-3.05170463039792,-1.38985097027856,-2.80833521451863,9.66657782973425,5.99554517057331,2.1072499425327,-1.57715569233768,NA,NA,NA,NA
"gac_3",-2.31455646103543,-1.01454671219819,-2.12019095889675,7.91417181911751,4.89358791930358,2.06768271198765,-0.984327213202779,NA,NA,NA,NA
"losd_1",-1.33016309379124,0.232439436404648,-0.419533673009456,6.33753073142044,5.04769899902661,3.88278556206482,3.28580532584274,2.14148223142081,1.42610481008,-0.0683376714818175,-1.36924657063833
"losd_2",-0.0040952947232385,2.22529855083667,-0.142077891335033,3.96058258289104,3.02926190414037,2.14048774411043,1.5033178521789,0.23376153345383,-0.277274733849832,-1.41246425166074,-2.87824799853902
"losd_3",0.130628476890269,2.46572216024321,-0.386775385332009,3.78085303496215,2.71752470418632,1.65639009616241,0.941733575336394,-0.293700145806185,-0.826156513726799,-1.90367380621489,-3.13707787638131
"losd_4",-0.0435506645717229,2.51468679523181,-0.402415829688708,3.51668587282325,2.6514648159608,1.77205494890985,1.23118667906536,-0.22582888872389,-0.708277047004571,-1.72608794016804,-2.87022238661758
"losd_5",-0.0583139378372731,3.08627389989422,-0.368165767488063,4.39212865621221,3.28381378790283,2.42434658071611,1.76659220208188,0.35722450631988,-0.167999274272043,-1.02194543015248,-2.24236544083803
"losd_6",0.00389807481767908,2.18987110472258,-0.250107139134951,3.88477937742206,2.81221461518044,1.83114873481594,1.12166442095566,-0.271703903223035,-0.847049162246896,-1.81288930388478,-2.98936336879571
"sa_1",-0.816847957525808,0.0440595483721068,0.416914164494992,2.78981480027473,1.93411362653466,1.31176307605638,0.856105055304687,-0.476127098853772,-1.06933085974119,-1.97011626834073,-2.83823551177275
"sa_2",-0.687655049477382,0.0878923030610048,0.478277139538438,1.90946895037106,1.28165516898801,0.828174420314624,0.511606018657904,-0.551777525108057,-1.21128676194603,-1.92420041809356,-2.62080313931573
"sa_3",-0.920264523449722,0.197521732724513,0.634429846331479,2.68996353102338,2.06061644880859,1.56759996291658,1.22700632779732,0.0688220965704197,-0.506750367726551,-1.48866033825249,-2.23413892804181
"sa_4",-1.18786988938286,0.218742911590247,0.243289929264235,3.30068832019458,2.60995751397064,2.02059476286383,1.67872294438658,0.238049443695962,-0.451268103478714,-1.32678583907592,-2.1532891729786
"sa_5",-1.51799547420604,0.175870322801445,0.398457436663944,5.4512568862896,4.92705623928803,4.20399477714181,3.53985411122034,2.06697310513047,1.15195889299855,-0.313434044762845,-1.32401204695354
"sa_6",-1.57968952992387,0.0902561263377733,-0.0150153129557855,5.74221487657995,5.13136114929777,4.40660898637051,3.87614954339184,2.43961055456248,1.83013488660996,0.893944400790431,0.117218943765764
"ao_1",-1.19332040146457,0.0813804503967991,-0.0718198965835707,3.9388653222764,3.46987984114587,2.74965209021593,2.47680782095088,1.56288012195158,0.938327724057319,-0.279174532302449,-1.179978410221
"ao_2",-1.52162222918233,-0.00343681014184183,0.206070652698251,6.06411387684399,4.6789994572852,3.64577908616333,3.09805484330447,1.6530051070798,0.731127754059572,-0.706036204672965,-1.88967582534443
"ao_3",-1.75458606883223,-0.0885359378616793,0,5.49806045495492,4.48398338467926,3.47920977360704,2.75811643973002,1.30344063691576,0.271718419414006,-1.0615431743314,-2.23471654345281
"ao_4",-2.09894990983306,0,0,7.31074943519173,6.11076160908553,5.05067127227508,4.27224340529742,2.64019542818276,1.55700348440964,0.0524369542415345,-1.29504303538276
