"","a1","a2","a3","d1","d2","d3","d4","d5","d6","d7","d8"
"gq6_1",-2.44404019114803,0.167487730522216,-0.694197765308009,8.31994652562347,7.46067449475092,6.45261682606145,4.2993061370009,2.77727511596835,-0.43740580725876,NA,NA
"gq6_2",-2.11976765388243,0.0019163606916098,-0.560164135746297,7.69747264529516,5.8455772173746,4.74461206260673,3.04551772723927,1.60772334013252,-0.827395045654998,NA,NA
"gq6_3",-1.33283389046938,0.0790446842250442,-0.326533137600664,4.75834550267061,3.8724834087728,2.98561782497269,2.0285775193877,1.33699739907528,-0.581522336138796,NA,NA
"gq6_4",-1.66908457630657,-0.19217357095232,-0.253552077558968,6.4627784113166,4.8892702607426,3.84905314008097,2.1595981771915,0.791410777880824,-1.59843336382324,NA,NA
"gq6_5",-1.66065373201779,0.0272667724461799,-0.174167634812776,6.30055275702531,5.45243608562066,4.67882679886632,2.94331435505111,1.55805445749391,-0.749184989328883,NA,NA
"gq6_6",-0.470603379250546,0.0056231057117721,-0.16675398786524,3.35606474260149,1.83293421053957,0.890637757859509,-0.0304792490269413,-0.592457996008384,-1.92989893243277,NA,NA
"gac_1",-1.75831092625671,-0.577509194333995,-2.10392202312827,6.64832199613045,4.01633051097785,1.38265527404248,-1.49019570787939,NA,NA,NA,NA
"gac_2",-2.78687823643427,-1.42550659218792,-3.48566396327727,10.5241639199301,6.5314626262334,2.27299403699608,-1.7720716031916,NA,NA,NA,NA
"gac_3",-1.99681728038173,-0.976368044702437,-2.44736443907414,8.11791998732287,5.01283557242525,2.09597691694966,-1.0467058980256,NA,NA,NA,NA
"losd_1",-1.28421163128408,0.166606267705379,-0.44051840686481,6.3008099994421,5.01027379394017,3.84414985526835,3.24871245688845,2.10595418961997,1.39072247845833,-0.0962377403045441,-1.38721397929911
"losd_2",-0.241838533663484,2.1710468215471,-0.0429175130817682,3.9323443730352,3.00088362179335,2.10815366286726,1.46550673123204,0.191518826263967,-0.319780314855534,-1.46502197577658,-2.93051507421358
"losd_3",-0.126887427631234,2.3944578450841,-0.229711598226418,3.7172334946505,2.65210938060733,1.58803626799942,0.872861758638233,-0.344487691771642,-0.870635681732538,-1.94337654576227,-3.15721275218827
"losd_4",-0.311215228742713,2.41151118296973,-0.221180853650588,3.42561754606823,2.56337121804765,1.68953998644249,1.15169075071823,-0.278314904238807,-0.75175258331655,-1.75662542456375,-2.87525398834229
"losd_5",-0.380099000887192,2.90282138324833,-0.19649569147904,4.22663847414905,3.14006067468365,2.29182726901926,1.63543078177152,0.267548676581537,-0.235534638941154,-1.06779194803047,-2.27052913600079
"losd_6",-0.232065835729543,2.14627317564404,-0.114241354919313,3.86119196774121,2.77863711667956,1.78621740967973,1.07084804038731,-0.320618205523632,-0.895630173879617,-1.86163547063461,-3.03248296849769
"sa_1",-0.760802614621129,-0.0220671411161087,0.246799667260719,2.71244626183853,1.87048537762652,1.25943458291099,0.813095807594563,-0.484168304298654,-1.06123241365669,-1.93941284990993,-2.78824203485991
"sa_2",-0.625380405605169,0.0324285733831561,0.273673062727371,1.8273222752987,1.21677974932436,0.777909582415385,0.472197753777231,-0.550216360864185,-1.18531213426138,-1.87542067005347,-2.55191442336106
"sa_3",-0.868187308637571,0.102059789747685,0.416772870586534,2.56546929656599,1.95426199677939,1.47826770211379,1.15172119802384,0.0470396241342517,-0.500691372749508,-1.44141193946709,-2.15963987154763
"sa_4",-1.13848739935598,0.138049501020554,0.0824238246048875,3.23242571801352,2.55011038241785,1.96949879045941,1.63283121754888,0.215607379578386,-0.46071460143822,-1.3215712550054,-2.13698046687356
"sa_5",-1.4740115835546,0.0781012847556186,0.262350956834525,5.37941994726334,4.85627497840131,4.13612728958052,3.47413388357548,2.00743961752436,1.10082818052171,-0.34361851652206,-1.33955011777001
"sa_6",-1.51942710720942,0.00869590057527142,-0.120872335480462,5.71319034172922,5.10379054123446,4.38302989725682,3.85513507826029,2.41243114929666,1.79859574374212,0.859408722394977,0.083927115008372
"ao_1",-1.15373425822712,0.0225628054505511,-0.123300634793453,3.91912502349161,3.44969585217508,2.72903266071219,2.45612445660332,1.54219093085594,0.91736003575586,-0.300261226260512,-1.20032525207611
"ao_2",-1.4622303060992,-0.0974347006258243,0.097240611668209,6.02713815102129,4.64583271780821,3.6147584681264,3.06829164851065,1.62082856262961,0.697074001957337,-0.732318091634279,-1.90558016074668
"ao_3",-1.70907043050473,-0.196094324381429,0,5.52825031822693,4.50306968904867,3.48685605709349,2.75862208053163,1.28149358191713,0.23606748543351,-1.10570632308185,-2.28254088510986
"ao_4",-2.04637153771651,0,0,7.35194316391992,6.15014755737019,5.074313956688,4.28714848606608,2.62351348242632,1.51767527932858,-0.0056205623392105,-1.34916800549683
